pattern.n.05	pattern
brake.n.05	brake
builder.n.03	builder
pit.n.02	pit
flood.n.04	flood
configuration.n.01	configuration
crisis.n.01	crisis
portfolio.n.04	portfolio
sum.n.05	sum
mantis.n.01	mantis
informant.n.01	informant
course.n.09	course
gut.n.02	gut
fire_extinguisher.n.01	fire_extinguisher
caste.n.01	caste
license.n.04	license
crevice.n.01	crevice
roll_of_tobacco.n.01	roll_of_tobacco
mix.n.03	mix
honeycomb.n.01	honeycomb
child.n.03	child
virus.n.02	virus
creator.n.02	creator
format.n.02	format
pond.n.01	pond
batch.n.03	batch
cellulite.n.01	cellulite
blade.n.05	blade
medicine.n.01	medicine
water_scooter.n.01	water_scooter
knowledge_domain.n.01	knowledge_domain
floor.n.06	floor
cut.n.04	cut
throat.n.03	throat
ball.n.01	ball
buffoonery.n.01	buffoonery
traffic.n.01	traffic
conflict.n.01	conflict
public_square.n.01	public_square
tongue.n.06	tongue
length.n.01	length
bridge.n.07	bridge
duster.n.02	duster
webbing.n.03	webbing
busman.n.01	busman
series.n.07	series
tumbler.n.01	tumbler
opening.n.03	opening
speaker.n.03	Speaker
tape_drive.n.01	tape_drive
electromagnet.n.01	electromagnet
torch.n.01	torch
deer.n.01	deer
coordinate.n.01	coordinate
place_setting.n.01	place_setting
finger.n.03	finger
tenant.n.03	tenant
rainbow.n.02	rainbow
sun.n.04	sun
yard.n.03	yard
jammer.n.01	jammer
manufacturer.n.01	manufacturer
class.n.01	class
cut.n.14	cut
footing.n.02	footing
job.n.06	job
hotbed.n.01	hotbed
nation.n.03	Nation
bitter.n.01	bitter
passage.n.10	passage
generation.n.07	generation
mouth.n.03	mouth
bread-bin.n.01	bread-bin
citation.n.03	citation
kenyan_shilling.n.01	Kenyan_shilling
fact.n.04	fact
feature.n.04	feature
controversy.n.01	controversy
sinkhole.n.01	sinkhole
squid.n.02	squid
browning_automatic_rifle.n.01	Browning_automatic_rifle
reason.n.03	reason
light.n.10	light
scale.n.02	scale
actor.n.01	actor
lick.n.02	lick
gull.n.02	gull
condition.n.01	condition
resource.n.01	resource
survivor.n.01	survivor
case.n.18	case
mathematical_process.n.01	mathematical_process
chemical_element.n.01	chemical_element
bleaching_agent.n.01	bleaching_agent
role.n.04	role
toaster.n.02	toaster
pit.n.06	pit
charter.n.01	charter
grain.n.03	grain
applesauce.n.01	applesauce
character.n.04	character
run.n.01	run
armor.n.02	armor
costume.n.03	costume
bone.n.01	bone
plunderer.n.01	plunderer
turret.n.01	turret
shell.n.05	shell
teaching.n.02	teaching
gallery.n.06	gallery
raise.n.01	raise
copy.n.04	copy
planet.n.01	planet
shortness_of_breath.n.01	shortness_of_breath
collar.n.01	collar
account.n.03	account
pencil.n.03	pencil
umbrella.n.03	umbrella
dove.n.01	dove
carrier.n.02	carrier
body.n.11	body
shaker.n.03	shaker
cancer.n.05	Cancer
study.n.09	study
pair.n.03	pair
shift.n.01	shift
nursing.n.01	nursing
announcement.n.02	announcement
offspring.n.02	offspring
action.n.10	action
owner.n.02	owner
world.n.08	world
bill.n.08	bill
know.n.01	know
comma.n.02	comma
intelligence.n.01	intelligence
representation.n.02	representation
size.n.03	size
wolf.n.01	wolf
generator.n.03	generator
brass.n.05	brass
roach.n.05	roach
tendinitis.n.01	tendinitis
point.n.14	point
pack_of_cards.n.01	pack_of_cards
influence.n.02	influence
figure.n.11	figure
lemniscus.n.01	lemniscus
band.n.10	band
dish.n.05	dish
course_of_study.n.01	course_of_study
icecap.n.01	icecap
party.n.04	party
needle.n.02	needle
net.n.04	net
bel.n.01	Bel
chamber.n.04	chamber
swimming.n.01	swimming
chicken.n.01	chicken
seat.n.09	seat
pitcher.n.04	pitcher
motion.n.03	motion
top.n.01	top
house.n.05	house
case.n.05	case
fact.n.03	fact
clasp.n.01	clasp
year.n.02	year
grandstand.n.02	grandstand
wave.n.05	wave
dynasty.n.01	dynasty
university.n.01	university
presence.n.06	presence
patron.n.02	patron
bridge.n.03	bridge
tax_return.n.01	tax_return
sequence.n.05	sequence
journal.n.05	journal
chateau.n.01	chateau
pitch.n.05	pitch
television_receiver.n.01	television_receiver
acquaintance.n.03	acquaintance
bladder.n.02	bladder
lettuce.n.02	lettuce
seance.n.01	seance
picket.n.04	picket
antenna.n.03	antenna
bow.n.01	bow
roar.n.03	roar
phrase.n.01	phrase
demonstrator.n.03	demonstrator
holder.n.02	holder
file.n.02	file
hybrid.n.03	hybrid
motion.n.06	motion
lead.n.15	lead
conflict.n.05	conflict
moon.n.02	moon
receiver.n.05	receiver
homestead.n.03	homestead
umbrella.n.02	umbrella
ban.n.04	ban
pencil.n.02	pencil
device.n.02	device
smoke_screen.n.02	smoke_screen
queen.n.09	queen
output.n.04	output
uncle.n.01	uncle
range.n.06	range
pass.n.04	pass
chain.n.07	Chain
kite.n.03	kite
worm.n.02	worm
hippopotamus.n.01	hippopotamus
blade.n.09	blade
pileup.n.01	pileup
planning.n.03	planning
big_cat.n.01	big_cat
fang.n.01	Fang
freshener.n.01	freshener
elevation.n.01	elevation
wireless_local_area_network.n.01	wireless_local_area_network
quarter.n.06	quarter
worm.n.04	worm
cranberry.n.02	cranberry
architect.n.01	architect
hardening.n.02	hardening
rise.n.01	rise
tap.n.05	tap
credit.n.04	credit
federation.n.03	federation
spread.n.01	spread
medium.n.10	medium
reason.n.06	reason
collar.n.06	collar
hit.n.03	hit
brush.n.05	brush
judge.n.01	judge
nature.n.01	nature
seal.n.02	seal
breath.n.03	breath
doctrine.n.01	doctrine
network.n.05	network
department_of_defense.n.01	Department_of_Defense
garbage.n.01	garbage
association.n.01	association
spoon.n.02	spoon
toe.n.02	toe
hovercraft.n.01	hovercraft
squadron.n.01	squadron
central_processing_unit.n.01	central_processing_unit
tail.n.05	tail
plane.n.05	plane
heir.n.01	heir
galley.n.04	galley
fairy.n.01	fairy
spot.n.06	spot
floor.n.09	floor
slate.n.01	slate
ceiling.n.02	ceiling
circular.n.01	circular
assessment.n.02	assessment
bush.n.05	Bush
breeze.n.01	breeze
picket.n.02	picket
union.n.04	union
laundry.n.02	laundry
bathroom.n.01	bathroom
base.n.18	base
warrior.n.01	warrior
exposure.n.02	exposure
millstone.n.02	millstone
blow.n.07	blow
help_desk.n.01	help_desk
enemy.n.01	enemy
do.n.02	do
definition.n.01	definition
core.n.02	core
kiss.n.04	kiss
line.n.02	line
doorjamb.n.01	doorjamb
championship.n.01	championship
parturition.n.01	parturition
place.n.12	place
low.n.01	low
care.n.05	care
exposure.n.03	exposure
priest.n.01	priest
campaign.n.04	campaign
observation.n.02	observation
assignment.n.01	assignment
base.n.13	base
travel_plan.n.01	travel_plan
order.n.09	order
table.n.03	table
head.n.25	head
barrette.n.01	barrette
form.n.09	form
sense.n.01	sense
gunman.n.01	gunman
judgment.n.02	judgment
heading.n.01	heading
flounder.n.01	flounder
drollery.n.01	drollery
stuff.n.05	stuff
yolk.n.02	yolk
consumer.n.01	consumer
test.n.05	test
enlistment.n.01	enlistment
lodger.n.01	lodger
mime.n.02	mime
pilot_burner.n.01	pilot_burner
settlement.n.06	settlement
brisket.n.01	brisket
bloc.n.01	bloc
cougar.n.01	cougar
squash.n.01	squash
rabbit.n.03	rabbit
score.n.05	score
moneybag.n.01	moneybag
audio.n.02	audio
draft.n.11	draft
migration.n.03	migration
cemetery.n.01	cemetery
car.n.04	car
gallery.n.05	gallery
trainload.n.01	trainload
seal.n.07	seal
brook.n.01	brook
bannister.n.02	bannister
word.n.04	word
ensemble.n.04	ensemble
chemise.n.01	chemise
return.n.02	return
denomination.n.01	denomination
monkey.n.01	monkey
basis.n.02	basis
torpedo.n.05	torpedo
offprint.n.01	offprint
selection.n.02	selection
split.n.07	split
mentor.n.01	mentor
puzzle.n.01	puzzle
company.n.06	company
cork.n.01	cork
fix.n.04	fix
liquid.n.04	liquid
copper.n.04	copper
grease.n.01	grease
caribou.n.01	caribou
advocate.n.02	advocate
handcuff.n.01	handcuff
faith.n.02	faith
landmark.n.04	landmark
key.n.10	key
party.n.03	party
plutonium.n.01	plutonium
hatchet_man.n.02	hatchet_man
bran.n.01	bran
subsection.n.01	subsection
fortune.n.04	fortune
tobacco.n.02	tobacco
confidant.n.01	confidant
american_ginseng.n.01	American_ginseng
bouquet.n.02	bouquet
union.n.02	Union
experiment.n.02	experiment
practice.n.03	practice
section.n.01	section
deliverer.n.04	deliverer
finish.n.04	finish
fathead.n.01	fathead
fender.n.03	fender
rack.n.05	rack
defense.n.01	defense
destruction.n.02	destruction
branching.n.01	branching
cut.n.01	cut
carriage.n.04	carriage
ballet_skirt.n.01	ballet_skirt
breast.n.04	breast
shot.n.15	shot
number.n.02	number
representative.n.01	representative
circumstance.n.03	circumstance
molding.n.03	molding
fork.n.03	fork
literature.n.04	literature
gauze.n.02	gauze
imposter.n.01	imposter
go.n.01	go
mortician.n.01	mortician
jewelry.n.01	jewelry
staff.n.06	staff
tranquilizer.n.01	tranquilizer
detective.n.02	detective
dignity.n.03	dignity
bowl.n.04	bowl
stump.n.01	stump
raft.n.01	raft
fabric.n.01	fabric
cedar.n.02	cedar
flood.n.05	flood
failure.n.07	failure
barracuda.n.01	barracuda
light.n.06	light
star.n.05	star
eye.n.05	eye
trace.n.06	trace
judgment.n.01	judgment
shift.n.05	shift
hood.n.10	hood
insect.n.01	insect
range.n.03	range
inside.n.01	inside
law.n.06	law
tarpaulin.n.01	tarpaulin
vertebra.n.01	vertebra
shampoo.n.02	shampoo
break.n.14	break
cooler.n.01	cooler
borough.n.01	borough
riddle.n.02	riddle
drift.n.06	drift
administration.n.02	administration
subject.n.08	subject
cover.n.09	cover
finish.n.09	finish
wind_instrument.n.01	wind_instrument
pike.n.05	pike
preschooler.n.01	preschooler
crossword_puzzle.n.01	crossword_puzzle
kin.n.01	kin
secretary.n.02	secretary
altarpiece.n.01	altarpiece
taste.n.07	taste
act.n.05	act
image.n.01	image
ladder.n.02	ladder
product.n.04	product
open_frame.n.01	open_frame
juice.n.03	juice
cytoplasm.n.01	cytoplasm
nebula.n.01	nebula
